# generated_from=Riot Data Dragon 16.10.1
# key	en	zh_name	zh_title	aliases
Aatrox	Aatrox	暗裔剑魔	亚托克斯	
Ahri	Ahri	九尾妖狐	阿狸	狐狸
Akali	Akali	离群之刺	阿卡丽	
Akshan	Akshan	影哨	阿克尚	
Alistar	Alistar	牛头酋长	阿利斯塔	
Ambessa	Ambessa	铁血狼母	安蓓萨	
Amumu	Amumu	殇之木乃伊	阿木木	
Anivia	Anivia	冰晶凤凰	艾尼维亚	
Annie	Annie	黑暗之女	安妮	
Aphelios	Aphelios	残月之肃	厄斐琉斯	
Ashe	Ashe	寒冰射手	艾希	寒冰
AurelionSol	Aurelion Sol	铸星龙王	奥瑞利安·索尔	
Aurora	Aurora	双界灵兔	阿萝拉	
Azir	Azir	沙漠皇帝	阿兹尔	
Bard	Bard	星界游神	巴德	
Belveth	Bel'Veth	虚空女皇	卑尔维斯	
Blitzcrank	Blitzcrank	蒸汽机器人	布里茨	
Brand	Brand	复仇焰魂	布兰德	
Braum	Braum	弗雷尔卓德之心	布隆	
Briar	Briar	狂厄蔷薇	贝蕾亚	
Caitlyn	Caitlyn	皮城女警	凯特琳	女警
Camille	Camille	青钢影	卡蜜尔	
Cassiopeia	Cassiopeia	魔蛇之拥	卡西奥佩娅	
Chogath	Cho'Gath	虚空恐惧	科加斯	
Corki	Corki	英勇投弹手	库奇	
Darius	Darius	诺克萨斯之手	德莱厄斯	
Diana	Diana	皎月女神	黛安娜	
Draven	Draven	荣耀行刑官	德莱文	
DrMundo	Dr. Mundo	祖安狂人	蒙多医生	
Ekko	Ekko	时间刺客	艾克	
Elise	Elise	蜘蛛女皇	伊莉丝	
Evelynn	Evelynn	痛苦之拥	伊芙琳	
Ezreal	Ezreal	探险家	伊泽瑞尔	EZ
Fiddlesticks	Fiddlesticks	远古恐惧	费德提克	
Fiora	Fiora	无双剑姬	菲奥娜	
Fizz	Fizz	潮汐海灵	菲兹	
Galio	Galio	正义巨像	加里奥	
Gangplank	Gangplank	海洋之灾	普朗克	
Garen	Garen	德玛西亚之力	盖伦	
Gnar	Gnar	迷失之牙	纳尔	
Gragas	Gragas	酒桶	古拉加斯	
Graves	Graves	法外狂徒	格雷福斯	
Gwen	Gwen	灵罗娃娃	格温	
Hecarim	Hecarim	战争之影	赫卡里姆	
Heimerdinger	Heimerdinger	大发明家	黑默丁格	
Hwei	Hwei	异画师	彗	
Illaoi	Illaoi	海兽祭司	俄洛伊	
Irelia	Irelia	刀锋舞者	艾瑞莉娅	
Ivern	Ivern	翠神	艾翁	
Janna	Janna	风暴之怒	迦娜	
JarvanIV	Jarvan IV	德玛西亚皇子	嘉文四世	
Jax	Jax	武器大师	贾克斯	
Jayce	Jayce	未来守护者	杰斯	
Jhin	Jhin	戏命师	烬	
Jinx	Jinx	暴走萝莉	金克丝	
Kaisa	Kai'Sa	虚空之女	卡莎	Kai'Sa|Kai Sa
Kalista	Kalista	复仇之矛	卡莉丝塔	
Karma	Karma	天启者	卡尔玛	
Karthus	Karthus	死亡颂唱者	卡尔萨斯	
Kassadin	Kassadin	虚空行者	卡萨丁	
Katarina	Katarina	不祥之刃	卡特琳娜	
Kayle	Kayle	正义天使	凯尔	
Kayn	Kayn	影流之镰	凯隐	
Kennen	Kennen	狂暴之心	凯南	
Khazix	Kha'Zix	虚空掠夺者	卡兹克	
Kindred	Kindred	永猎双子	千珏	
Kled	Kled	暴怒骑士	克烈	
KogMaw	Kog'Maw	深渊巨口	克格莫	
KSante	K'Sante	纳祖芒荣耀	奎桑提	
Leblanc	LeBlanc	诡术妖姬	乐芙兰	
LeeSin	Lee Sin	盲僧	李青	瞎子
Leona	Leona	曙光女神	蕾欧娜	
Lillia	Lillia	含羞蓓蕾	莉莉娅	
Lissandra	Lissandra	冰霜女巫	丽桑卓	
Lucian	Lucian	圣枪游侠	卢锡安	
Lulu	Lulu	仙灵女巫	璐璐	
Lux	Lux	光辉女郎	拉克丝	光辉
Malphite	Malphite	熔岩巨兽	墨菲特	石头人
Malzahar	Malzahar	虚空先知	玛尔扎哈	
Maokai	Maokai	扭曲树精	茂凯	
MasterYi	Master Yi	无极剑圣	易	剑圣
Mel	Mel	流光镜影	梅尔	
Milio	Milio	明烛	米利欧	
MissFortune	Miss Fortune	赏金猎人	厄运小姐	
MonkeyKing	Wukong	齐天大圣	孙悟空	
Mordekaiser	Mordekaiser	铁铠冥魂	莫德凯撒	
Morgana	Morgana	堕落天使	莫甘娜	
Naafiri	Naafiri	百裂冥犬	纳亚菲利	
Nami	Nami	唤潮鲛姬	娜美	
Nasus	Nasus	沙漠死神	内瑟斯	
Nautilus	Nautilus	深海泰坦	诺提勒斯	泰坦
Neeko	Neeko	万花通灵	妮蔻	
Nidalee	Nidalee	狂野女猎手	奈德丽	
Nilah	Nilah	不羁之悦	尼菈	
Nocturne	Nocturne	永恒梦魇	魔腾	
Nunu	Nunu & Willump	雪原双子	努努和威朗普	
Olaf	Olaf	狂战士	奥拉夫	
Orianna	Orianna	发条魔灵	奥莉安娜	发条
Ornn	Ornn	山隐之焰	奥恩	
Pantheon	Pantheon	不屈之枪	潘森	
Poppy	Poppy	圣锤之毅	波比	
Pyke	Pyke	血港鬼影	派克	
Qiyana	Qiyana	元素女皇	奇亚娜	
Quinn	Quinn	德玛西亚之翼	奎因	
Rakan	Rakan	幻翎	洛	
Rammus	Rammus	披甲龙龟	拉莫斯	
RekSai	Rek'Sai	虚空遁地兽	雷克塞	
Rell	Rell	镕铁少女	芮尔	
Renata	Renata Glasc	炼金男爵	烈娜塔 · 戈拉斯克	
Renekton	Renekton	荒漠屠夫	雷克顿	
Rengar	Rengar	傲之追猎者	雷恩加尔	
Riven	Riven	放逐之刃	锐雯	
Rumble	Rumble	机械公敌	兰博	
Ryze	Ryze	符文法师	瑞兹	
Samira	Samira	沙漠玫瑰	莎弥拉	
Sejuani	Sejuani	北地之怒	瑟庄妮	
Senna	Senna	涤魂圣枪	赛娜	
Seraphine	Seraphine	星籁歌姬	萨勒芬妮	
Sett	Sett	腕豪	瑟提	
Shaco	Shaco	恶魔小丑	萨科	
Shen	Shen	暮光之眼	慎	
Shyvana	Shyvana	龙血武姬	希瓦娜	
Singed	Singed	炼金术士	辛吉德	
Sion	Sion	亡灵战神	赛恩	
Sivir	Sivir	战争女神	希维尔	
Skarner	Skarner	上古领主	斯卡纳	
Smolder	Smolder	炽炎雏龙	斯莫德	小火龙|火龙
Sona	Sona	琴瑟仙女	娑娜	
Soraka	Soraka	众星之子	索拉卡	
Swain	Swain	诺克萨斯统领	斯维因	
Sylas	Sylas	解脱者	塞拉斯	
Syndra	Syndra	暗黑元首	辛德拉	
TahmKench	Tahm Kench	河流之王	塔姆	
Taliyah	Taliyah	岩雀	塔莉垭	
Talon	Talon	刀锋之影	泰隆	
Taric	Taric	瓦洛兰之盾	塔里克	
Teemo	Teemo	迅捷斥候	提莫	
Thresh	Thresh	魂锁典狱长	锤石	
Tristana	Tristana	麦林炮手	崔丝塔娜	
Trundle	Trundle	巨魔之王	特朗德尔	
Tryndamere	Tryndamere	蛮族之王	泰达米尔	
TwistedFate	Twisted Fate	卡牌大师	崔斯特	
Twitch	Twitch	瘟疫之源	图奇	
Udyr	Udyr	兽灵行者	乌迪尔	
Urgot	Urgot	无畏战车	厄加特	
Varus	Varus	惩戒之箭	韦鲁斯	
Vayne	Vayne	暗夜猎手	薇恩	VN
Veigar	Veigar	邪恶小法师	维迦	小法
Velkoz	Vel'Koz	虚空之眼	维克兹	
Vex	Vex	愁云使者	薇古丝	
Vi	Vi	皮城执法官	蔚	
